gene	sample_1	sample_2	status	value_1	value_2	significant
AT1G10460	WT	hy5	NOTEST	0.537963	0	no
AT1G10470	WT	hy5	OK	25.6301	19.4097	no
AT1G10480	WT	hy5	NOTEST	0.466225	0.764658	no
AT1G10490	WT	hy5	NOTEST	0.258376	0.72937	no
AT1G10500	WT	hy5	OK	24.921	21.4348	no
AT1G10510	WT	hy5	NOTEST	6.12421	4.16807	no
AT1G10520	WT	hy5	NOTEST	0	1.04678	no
AT1G10522	WT	hy5	OK	11.065	11.1658	no
AT1G10530	WT	hy5	NOTEST	0	1.35559	no
AT1G10538	WT	hy5	NOTEST	0	0	no
AT1G10540	WT	hy5	NOTEST	0	0	no
AT1G10550	WT	hy5	NOTEST	0	1.28966	no
AT1G10560	WT	hy5	NOTEST	0	0	no
AT1G10570	WT	hy5	NOTEST	0.274927	2.44549	no
AT1G10580	WT	hy5	NOTEST	6.02288	11.0486	no
AT1G10585	WT	hy5	NOTEST	3.86799	1.23682	no
AT1G10586	WT	hy5	NOTEST	0	0	no
AT1G10588	WT	hy5	NOTEST	0	0	no
AT1G10590	WT	hy5	OK	48.9034	31.8847	no
AT1G10600	WT	hy5	NOTEST	7.46904	1.87969	no
AT1G10610	WT	hy5	NOTEST	1.13844	0.324984	no
AT1G10620	WT	hy5	NOTEST	0	0	no
AT1G10630	WT	hy5	OK	28.7143	12.7603	no
AT1G10640	WT	hy5	NOTEST	0.915225	1.78592	no
AT1G10650	WT	hy5	NOTEST	3.28019	3.36613	no
AT1G10652	WT	hy5	NOTEST	0	0	no
AT1G10657	WT	hy5	NOTEST	5.30186	0	no
AT1G10660	WT	hy5	NOTEST	7.81513	3.26592	no
AT1G10670	WT	hy5	OK	40.579	53.1616	no
AT1G10680	WT	hy5	NOTEST	0	0	no
AT1G10682	WT	hy5	OK	106.171	33.5089	yes
AT1G10690	WT	hy5	NOTEST	1.75981	0	no
AT1G10700	WT	hy5	NOTEST	5.00233	5.03669	no
AT1G10705	WT	hy5	NOTEST	0	0	no
AT1G10710	WT	hy5	NOTEST	0	0	no
AT1G10717	WT	hy5	NOTEST	0	0	no
AT1G10720	WT	hy5	NOTEST	2.85494	4.52903	no
AT1G10730	WT	hy5	NOTEST	1.30757	2.09042	no
AT1G10740	WT	hy5	NOTEST	9.14661	5.81329	no
AT1G10745	WT	hy5	NOTEST	0	0	no
AT1G10747	WT	hy5	NOTEST	0	0	no
AT1G10750	WT	hy5	NOTEST	0	0	no
AT1G10760	WT	hy5	OK	2.38681	14.8861	yes
AT1G10770	WT	hy5	NOTEST	0	0	no
AT1G10780	WT	hy5	NOTEST	0.842616	1.82154	no
AT1G10790	WT	hy5	NOTEST	0	0	no
AT1G10800	WT	hy5	NOTEST	0	0	no
AT1G10810	WT	hy5	NOTEST	0	0	no
AT1G10820	WT	hy5	NOTEST	2.93512	2.80256	no
AT1G10830	WT	hy5	NOTEST	5.94066	6.36494	no
AT1G10840	WT	hy5	OK	11.5459	16.6378	no
AT1G10850	WT	hy5	NOTEST	5.09986	3.65734	no
AT1G10865	WT	hy5	OK	26.0859	12.8969	no
AT1G10870	WT	hy5	NOTEST	0.922185	3.61855	no
AT1G10880	WT	hy5	NOTEST	0	0	no
AT1G10890	WT	hy5	NOTEST	0.82791	4.78973	no
AT1G10900	WT	hy5	NOTEST	1.551	4.6299	no
AT1G10910	WT	hy5	NOTEST	1.53161	2.6894	no
AT1G10920	WT	hy5	NOTEST	0	0	no
AT1G10930	WT	hy5	NOTEST	0.11434	0.916941	no
AT1G10940	WT	hy5	OK	9.56133	16.6347	no
AT1G10950	WT	hy5	OK	29.7925	19.5166	no
AT1G10960	WT	hy5	OK	234.208	117.018	yes
AT1G10970	WT	hy5	NOTEST	1.233	1.11084	no
AT1G10980	WT	hy5	NOTEST	0	0	no
AT1G10990	WT	hy5	NOTEST	1.51776	0	no
AT1G11000	WT	hy5	NOTEST	0.9345	2.82167	no
AT1G11010	WT	hy5	NOTEST	0	0	no
AT1G11020	WT	hy5	NOTEST	6.39567	1.87487	no
AT1G11030	WT	hy5	NOTEST	0	0	no
AT1G11040	WT	hy5	NOTEST	0	0	no
AT1G11050	WT	hy5	NOTEST	0.730136	3.32448	no
AT1G11055	WT	hy5	NOTEST	0	0	no
AT1G11060	WT	hy5	NOTEST	0	1.09961	no
AT1G11070	WT	hy5	NOTEST	0	0.23545	no
AT1G11080	WT	hy5	NOTEST	0	2.57851	no
AT1G11090	WT	hy5	NOTEST	7.41887	1.08108	no
AT1G11100	WT	hy5	NOTEST	0	0.0554115	no
AT1G11110	WT	hy5	NOTEST	0	0	no
AT1G11112	WT	hy5	NOTEST	0	0	no
AT1G11120	WT	hy5	NOTEST	4.63806	2.98669	no
AT1G11125	WT	hy5	NOTEST	0	1.73117	no
AT1G11130	WT	hy5	NOTEST	1.45207	1.71965	no
AT1G11145	WT	hy5	NOTEST	0	0	no
AT1G11150	WT	hy5	NOTEST	0.416862	0.292292	no
AT1G11160	WT	hy5	NOTEST	0.52701	0.148944	no
AT1G11170	WT	hy5	NOTEST	0	0.344565	no
AT1G11175	WT	hy5	NOTEST	18.2395	2.83634	no
AT1G11180	WT	hy5	NOTEST	2.11671	2.51099	no
AT1G11185	WT	hy5	OK	22.3011	13.0831	no
AT1G11190	WT	hy5	NOTEST	1.33722	1.75703	no
AT1G11200	WT	hy5	NOTEST	3.94148	4.79144	no
AT1G11210	WT	hy5	NOTEST	1.40675	1.04194	no
